ROI,Subject,R2_full,Unique_2D,Unique_3D,Unique_Semantic,Shared
hV4,1,0.0069833957986011885,0.0010457226895731475,0.0007209817298021726,7.160815270745857e-07,0.005215975297698794
hV4,2,0.008718152927523426,0.003170977373155748,0.0004886845189817635,0.0003013094890762513,0.004757181546309663
hV4,3,0.0049679949825303105,0.003311219650327102,0.0009429269399643392,0.00020377579608044094,0.0005100725961584285
hV4,4,0.06860444124309217,0.01865690698192879,1.8546454483292507e-08,0.0028393042993707374,0.047108211415338164
hV4,5,0.06320412933878006,0.014965244335939154,0.00013245428108266122,0.005139637388621554,0.04296679333313669
hV4,6,0.002903031055588534,0.0014982877277688322,0.000992686989574998,0.0005014700695723517,-8.941373132764774e-05
hV4,7,0.04404745397239096,0.016782528150630638,0.0008806031717223384,0.002281250825354575,0.02410307182468341
hV4,8,0.014831877075479505,0.0030155231904452906,0.0003848692242895968,0.002636337726215743,0.008795146934528875
hV4,9,0.06858370184012419,0.018466123630837772,0.00791476247167755,0.016419911843071455,0.025782903894537412
hV4,10,0.02655540666412992,0.013578832941157692,7.350796743488264e-05,2.913656837577605e-06,0.012900152098699769
hV4,11,0.010335202048615377,0.005550827473431941,0.0025522869764397216,0.0012948293822530044,0.0009372582164907106
hV4,12,0.03723969809254701,0.004001463632839486,0.0003320031576041771,0.008539281750177707,0.024366949551925643
hV4,13,0.004828964513073908,0.0017417706579809789,0.002792724262228208,0.00010208392290600443,0.00019238566995871675
hV4,14,0.009279837219102305,0.0031501619779025214,0.0024085721867690424,0.0025900108112354436,0.0011310922431952974
hV4,15,0.011695022838971725,0.006776776555701747,0.0014770992855921428,0.00058754629869473,0.0028536006989831053
hV4,16,0.0037097086163386805,7.365813827520107e-05,5.144665132017501e-06,0.000994409081976011,0.002636496730955451
LO1,1,0.008559772771480567,0.00557077686565377,0.00015067791936407282,1.8804060064603334e-05,0.0028195139263981206
LO1,2,0.003411299079906227,0.00029226945299110074,0.002111478326189742,5.249267626572518e-06,0.001002302033098812
LO1,3,0.0042834741493292805,0.003736684601466478,0.0012824750298259247,1.2873183441453051e-05,-0.000748558665404575
LO1,4,0.004913464333977102,0.0030555918467712884,0.0009523028463139793,0.0002968347425058582,0.0006087348983859764
LO1,5,0.006639453272590412,0.004939914473634288,0.0030418360428409175,0.00037355252657167437,-0.001715849770456468
LO1,6,0.0035673004804214203,0.0030496073840481364,0.00029701827994499386,4.611984256419621e-05,0.0001745549738640939
LO1,7,0.005352759986059219,0.004743046535052531,0.0001356583703451264,0.0005754440339221789,-0.00010138895326061714
LO1,8,0.006011127768131619,0.003712641306234832,0.0017816575960084569,0.000576161505352113,-5.9332639463782755e-05
LO1,9,0.03818712224500043,0.018588441256171206,0.007664993418337929,0.005173658942358439,0.0067600286281328525
LO1,10,0.007028466208202411,0.006392060897907892,0.0006724053782914963,0.00019865366267834972,-0.00023465373067532713
LO1,11,0.0016126100623597983,0.0008063512167403308,0.0006483938972924319,0.0003244923297178737,-0.0001666273813908381
LO1,12,0.0019256086567459585,0.0012861079864805447,0.00017897020863766322,2.0182347607256013e-05,0.00044034811402049456
LO1,13,0.0038615322670381147,7.528142527946091e-05,0.0015960359974784843,1.696684706498086e-05,0.0021732479972151886
LO1,14,0.0017202678293610774,0.0009056623472016856,0.00097023781398764,0.00035198866022390085,-0.0005076209920521491
LO1,15,0.005086310405807315,0.004066775389356403,7.173288937289968e-07,0.0009381390471652207,8.067864039196238e-05
LO1,16,0.004329031508390924,0.001859668720323282,0.00030395443053954363,0.0003592177883611214,0.0018061905691669766
LO2,1,0.018011368991398213,0.00814324495922436,0.000725099950478314,0.0008202192996878965,0.008322804782007642
LO2,2,0.0026785003102537397,5.179581498593322e-06,0.0017051493614759217,0.0001999395425273942,0.0007682318247518305
LO2,3,0.0036913316833637744,0.0035862593156064104,0.000989218747638354,5.386446814981127e-05,-0.0009380108480308014
LO2,4,0.01109192812729154,0.004824797060935304,0.0021120941890202527,0.001821024494721435,0.0023340123826145476
LO2,5,0.010787450524600173,0.00951377974202361,0.004409735874253751,4.106147643989644e-05,-0.0031771265681170835
LO2,6,0.002411047480906592,0.0021926649237993256,0.0007715010043932713,2.6228419847118545e-07,-0.0005533807314844763
LO2,7,0.003943151791997446,0.0009007661648056109,0.0007229655222341647,0.00033258561041327184,0.0019868344945443983
LO2,8,0.003189039500827384,0.0018688111325140255,0.00089100976082368,0.00034534064604341275,8.387796144626591e-05
LO2,9,0.029066918573018463,0.013337056674430747,0.007074338349783216,0.005087578256970815,0.003567945291833685
LO2,10,0.003967551299714711,0.003948205501321245,0.0008896365623071167,0.00018709334225741614,-0.0010573841061710665
LO2,11,0.001987101737434216,0.0006230752484840396,0.001699547172856808,0.0007006704255947405,-0.001036191109501372
LO2,12,0.00243129126923769,0.00042889137298951496,0.000369749502015404,5.1608109818856995e-05,0.0015810422844139138
LO2,13,0.004574743493141797,8.470755047185197e-05,0.0010793501356717305,7.906863094042649e-06,0.0034027789439041722
LO2,14,0.00034931740563914904,0.00024144653940183503,0.0002439937584505225,4.2541880973523405e-07,-0.00013654831102294374
LO2,15,0.004410985793914857,0.00437843741920918,0.0005658298099053827,0.0004244538401702025,-0.0009577352753699087
LO2,16,0.003634988104842529,0.0019183500984660817,0.00017931824331796076,9.548795705549562e-05,0.001441831806002991
PHC1,1,0.016064216684018917,0.00443321347772252,0.001250330368402941,0.0031125554474664696,0.007268117390426987
PHC1,2,0.003454141033013336,0.002996993845900242,0.0012965017303467885,2.258263390120252e-05,-0.0008619371771348971
PHC1,3,0.020045555194921127,0.015036020887046142,0.005365437116261362,0.000603096844260631,-0.0009589996526470079
PHC1,4,0.01565415752521282,0.012456111615051335,0.003998166978293138,0.0002286816145529169,-0.0010288026826845709
PHC1,5,0.006829029040322676,0.004699024298148169,0.0014964869280819082,0.00028304167836334937,0.0003504761357292496
PHC1,6,0.0023978717980652764,0.0004662398892366637,0.0021748727607219243,0.0010732611288167826,-0.0013165019807100942
PHC1,7,0.017611759060127796,0.010682613220738602,0.0011509535883144073,0.0002451903743994066,0.005533001876675381
PHC1,8,0.01407159171337935,0.001055511086573202,0.006642571461792035,0.009870058327328124,-0.003496549162314011
PHC1,9,0.009797150920979547,0.004029765005019392,0.003977812602465769,0.00268680790969944,-0.0008972345962050543
PHC1,10,0.010827113862967197,0.010556267296881972,0.0031053249868668864,0.0001831665007510086,-0.0030176449215326695
PHC1,11,0.003565084260380491,0.0012769816117493837,0.0010816369107228274,0.001011599001579544,0.00019486673632873597
PHC1,12,0.008663440947230594,0.001000113195454011,5.355546961682833e-06,0.0014482175695538224,0.006209754635261078
PHC1,13,0.003949376986557174,0.0010776014286267843,0.0014576143537715636,0.00041415391752963604,0.0010000072866291898
PHC1,14,0.004926877264990748,0.0007872788547739207,0.0022230273654277877,0.002771122702119988,-0.0008545516573309486
PHC1,15,0.00835680869085631,0.0034714968194825557,0.0007026879906177896,0.0008582570196697947,0.00332436686108617
PHC1,16,0.006196308227567893,0.0032019753601987277,0.00020410392405911804,0.0005838242505750157,0.002206404692735031
PHC2,1,0.0022009629400334685,0.00027234010376808726,6.447173180212928e-06,0.0003953524539178632,0.001526823209167305
PHC2,2,0.011339459237700855,0.009514298217980999,0.005366610769114155,0.0001655954941860438,-0.0037070452435803425
PHC2,3,0.013548488669159475,0.011637688552799341,0.003507459843924643,3.771009526365443e-05,-0.0016343698228281633
PHC2,4,0.009813530758568723,0.009230290268405272,0.001478128377131016,0.00019540228864878273,-0.0010902901756163486
PHC2,5,0.004111960032867068,0.0036571527899188494,0.0004896306405092199,4.437066350349017e-05,-7.919406106449145e-05
PHC2,6,0.0023748546026267636,0.0009004089442576912,0.0021939265338577485,0.0005338003132870917,-0.0012532811887757678
PHC2,7,0.010561072770244428,0.0063399849443510625,0.0005939118427586987,0.00012177344588537586,0.0035054025372492914
PHC2,8,0.0036544940347711385,1.1511575468858837e-05,0.0009199883571852085,0.0033104408296134036,-0.0005874467274963324
PHC2,9,0.0033831168720400706,0.00115799434844166,0.0014946215349641578,0.0011773254963632906,-0.0004468245077290378
PHC2,10,0.011443767422063211,0.010461443599190767,0.005144645654508229,1.6090464363127666e-05,-0.004178412295998912
PHC2,11,0.004245216286207665,0.002205493708342554,0.0023423391669639138,0.0008894582872678303,-0.0011920748763666333
PHC2,12,0.002007259478495338,0.00010829743034268535,0.00014232996110075113,0.0009294167738486125,0.0008272153132032889
PHC2,13,0.0013094006339154918,0.0009047615426909239,0.00046820946059034085,0.0001699020739249768,-0.0002334724432907498
PHC2,14,0.0028720845586991395,1.737364701115407e-05,0.0010586849968347023,0.0024510689625593107,-0.0006550430477060276
PHC2,15,0.008324387833094082,0.004189985522649042,7.528814692669972e-05,3.385000261368898e-05,0.004025264160904651
PHC2,16,0.0038858769199799914,0.002642589161155673,7.129066427524755e-06,0.00038329849222829004,0.0008528602001685037
V1d,1,0.07820044406688775,0.029529580279171408,0.001352160498258037,0.0038472106969613673,0.04347149259249694
V1d,2,0.11431322646178621,0.04204701681373779,0.011769754129246968,0.017051618201761265,0.043444837317040186
V1d,3,0.10427475385680485,0.034828443527816444,0.007026788395574468,0.014365466698908147,0.04805405523450579
V1d,4,0.10430120103819829,0.021539678472299317,0.002504025752220862,0.01780680518135025,0.06245069163232786
V1d,5,0.09240032640995544,0.028770151814420553,0.000971682441049615,0.006262590036132498,0.05639590211835277
V1d,6,0.04248340569438225,0.020494221261104895,0.003483248461572108,0.002817384132578038,0.015688551839127207
V1d,7,0.11889601832186003,0.02816525065643727,0.0010284113818342933,0.012800574067959314,0.07690178221562916
V1d,8,0.08368971180853735,0.020351616314122856,0.0005297548862706059,0.008011644423610909,0.05479669618453298
V1d,9,0.092802764174293,0.03686484997829531,0.011972154454412465,0.013916164041691492,0.03004959569989374
V1d,10,0.0627664842869392,0.03606597789849164,0.0003624009400092776,5.389277864753517e-05,0.026284212669790752
V1d,11,0.05059395307108683,0.02495767305855001,0.005727475883664845,0.004151674230910785,0.015757129897961186
V1d,12,0.10261735849109344,0.022528861050458038,0.0023327969502046075,0.01609308244037244,0.06166261805005835
V1d,13,0.0029146034783177344,2.1257177038047637e-05,0.0018318501077518867,0.0001416517244570148,0.0009198444690707852
V1d,14,0.05330401703157572,0.017743922418697156,0.0036944823103427504,0.007497678192814217,0.0243679341097216
V1d,15,0.08055466719022164,0.03085627820575121,0.002508672964716019,0.005317217343836389,0.041872498675918024
V1d,16,0.05724549746756702,0.013313367022972034,0.0011595450635453197,0.008065878050251718,0.03470670733079795
V1v,1,0.06309865142172189,0.01247765575166071,2.6228391473814838e-05,0.004450997299090931,0.04614376997949643
V1v,2,0.08780824036392854,0.02719984307674772,0.007052382626392184,0.014883096901544657,0.038672917759243974
V1v,3,0.11558034897394887,0.03778803795757657,0.008830451599668443,0.0176292373776632,0.051332622039040654
V1v,4,0.09851719785590007,0.013864291228471548,0.0010177002289515347,0.019341946257764087,0.0642932601407129
V1v,5,0.13073228299485817,0.02553247424112981,0.00477151712684698,0.026947429204631668,0.07348086242224972
V1v,6,0.04774678085710149,0.018150780669146882,0.004545074749585654,0.006400543549514914,0.01865038188885404
V1v,7,0.10309275940983487,0.011331645038584193,6.905648750488158e-05,0.017938626144259673,0.07375343173948612
V1v,8,0.10934716666266331,0.00929571019362585,2.0285783366325028e-05,0.0212943814715274,0.07873678921414373
V1v,9,0.12234742722203718,0.02225784458880009,0.011505441669993455,0.03732450040983193,0.0512596405534117
V1v,10,0.06566869411314236,0.025321702901207166,0.0005322539813749083,0.0020092364929507056,0.037805500737609576
V1v,11,0.1018400108841403,0.02370924463635038,0.005841329978024223,0.020874322707961745,0.05141511356180395
V1v,12,0.10569031904383663,0.016880512735620856,0.0008366406231109513,0.017756552081377608,0.07021661360372722
V1v,13,0.008492156047458232,4.1822760854515195e-07,0.0014858759350614426,0.00047953269139400234,0.0065263291933942424
V1v,14,0.09250174136506828,0.016021001763374176,0.0018216225384193319,0.01770273381632148,0.05695638324695329
V1v,15,0.10739878557565574,0.027557185232265025,0.005614707788758055,0.019027902540596164,0.0551989900140365
V1v,16,0.06025844000785341,0.00954725578773008,0.002397041985369164,0.015098913826125382,0.03321522840862878
V2d,1,0.033347819551666436,0.021364732839696754,0.0006764320819798719,2.1970380616909146e-05,0.0112846842493729
V2d,2,0.07887051424030544,0.045425680166355065,0.005724211305167981,0.001981749834558788,0.02573887293422361
V2d,3,0.038212736908801226,0.019735189846865397,0.003968346722152627,0.002488379959364795,0.012020820380418407
V2d,4,0.07942355743914564,0.026855456965603874,0.0013251756638751333,0.0052895464331542685,0.045953378376512366
V2d,5,0.06866136655758959,0.043418150173470615,0.003034357431153545,0.00018109220419693095,0.022027766748768496
V2d,6,0.02534313924875331,0.019856936138270886,0.0029133703353353413,6.1062032512548825e-06,0.0025667265718958276
V2d,7,0.05520854302004574,0.03271964358955293,0.002261735424320399,0.00037649824608665394,0.01985066576008576
V2d,8,0.030685720588134346,0.018367225062220993,0.0027833773623356928,0.000827888505763763,0.008707229657813897
V2d,9,0.055336930160385656,0.0334628267659145,0.008204174157586674,0.0027592295492042673,0.010910699687680214
V2d,10,0.020461793672741257,0.01600297289719743,0.00030967005408144566,0.0009237845045977355,0.0032253662168646446
V2d,11,0.020157203218585495,0.012604726813732148,0.0020786837487661858,0.000489397441102768,0.004984395214984394
V2d,12,0.04736782739023182,0.019175989801685556,0.0035016005628841773,0.004728368243441583,0.019961868782220504
V2d,13,0.00710853020801927,0.0005489717487831003,0.0014888699866554278,3.341311485638432e-05,0.005037275357724358
V2d,14,0.01325674756497397,0.007374280331257532,0.002782474193938067,0.0013122295356344793,0.001787763504143891
V2d,15,0.02712636494731102,0.018258393876966483,0.0006871364556524373,4.7433120364148706e-05,0.008133401494327952
V2d,16,0.02539392657932349,0.010701945677307978,0.0010995894402582307,0.0015663214837622341,0.012026069977995046
V2v,1,0.038992761853894775,0.0044903067705144295,9.33737178576699e-05,0.0045450666170040455,0.02986401474851863
V2v,2,0.03387525064010566,0.0136357475738349,0.0021692861730152613,0.003111711716549559,0.014958505176705938
V2v,3,0.04294722814004759,0.02186399437414943,0.005728599921704602,0.0037018059665180347,0.01165282787767552
V2v,4,0.08222227071726174,0.012288977330036088,0.0003815734101212387,0.006326249395365413,0.063225470581739
V2v,5,0.09299287206972884,0.02254635163431118,0.0013494188759889392,0.011159480981273173,0.057937620578155546
V2v,6,0.023825301673201738,0.006939040293573395,0.001684786798497706,0.004123034696753458,0.011078439884377178
V2v,7,0.029210687633753007,0.004965397577690656,0.00013298293529351302,0.001857843627009692,0.022254463493759147
V2v,8,0.07404376329702744,0.0097408075635248,0.0010456691667063422,0.01624539851807527,0.04701188804872103
V2v,9,0.052998717293872066,0.012972253629210506,0.007828598012769028,0.015522853076067156,0.016675012575825376
V2v,10,0.04137014249924442,0.01402183387653344,0.00023513372345618233,0.00010312296709458213,0.027010051932160217
V2v,11,0.044461311463430686,0.006663239022339007,0.002432751058136229,0.012762313613484677,0.022603007769470773
V2v,12,0.04942521773449804,0.005467165450031675,1.8584424964718238e-05,0.006962599831587868,0.03697686802791378
V2v,13,0.0090743321755683,1.1413084491929126e-05,0.0011627240576306264,0.0010311815318242434,0.0068690135016215015
V2v,14,0.05301907300122799,0.013151449541803584,0.0032722736656626283,0.010470558974006283,0.026124790819755495
V2v,15,0.02712101029642544,0.01100165108052975,0.0022366452174599205,0.0029016283207632387,0.01098108567767253
V2v,16,0.016609618994481545,0.0017427487598461466,0.00022738435721225692,0.004161305838397911,0.010478180039025231
V3a,1,0.017027518625638116,0.010464780219898606,0.0005361467390059271,2.3231783543242734e-05,0.00600335988319034
V3a,2,0.0009361929446246586,7.071513312351119e-05,0.00022116173088349012,1.050229845955819e-05,0.0006338137821580991
V3a,3,0.004648395014286599,0.0031996870062094285,0.001490550247734146,0.0003057260344612178,-0.0003475682741181929
V3a,4,0.03737660330708248,0.011257508156239826,0.002065674644095794,0.005479448232801665,0.018573972273945194
V3a,5,0.013249384145056609,0.009123995641226235,0.0027056825498696924,0.0004925510315791914,0.0009271549223814901
V3a,6,0.0014131996106476752,0.0010670351798731659,9.848905779963335e-05,7.108344792783328e-07,0.00024696453849559763
V3a,7,0.044352958386242536,0.03675606364049999,0.002185217337496881,0.0010245608155089458,0.004387116592736717
V3a,8,0.012053020355773714,0.00522685625245789,0.001533874763454235,0.0015067849434201586,0.0037855043964414303
V3a,9,0.0390269848602921,0.02102243586827779,0.00781467165162375,0.004076830051663705,0.006113047288726858
V3a,10,0.005336873142419707,0.004406616089358328,6.667465688792173e-05,0.00045854067466566395,0.00040504172150779283
V3a,11,0.0028972798761341956,0.002015677405365901,0.001376644432994123,0.00024107281816121429,-0.0007361147803870427
V3a,12,0.011657052627407904,0.002274228213596685,0.000336592058330365,0.0022312391164094336,0.006814993239071421
V3a,13,0.0066780459963337035,0.0009140736721577891,0.003276481720879021,0.00012547483673563953,0.002362015766561254
V3a,14,0.0011127254407001796,0.0003909159989007316,8.383203247741555e-05,0.00014958734104519866,0.0004883900682768338
V3a,15,0.006177955395645918,0.002520780059257266,2.4941483088181116e-05,9.328566166200147e-07,0.0036313009966838505
V3a,16,0.00446718160218007,0.0015858370484514994,1.332149668431537e-05,0.00013036238690966595,0.0027376606701345896
V3b,1,0.013076558045996056,0.009191084327957788,0.0003090025375700467,8.35391006724917e-05,0.0034929320797957297
V3b,2,0.0034366986088698592,2.3946179709133375e-06,0.002339494670882347,0.0004235682407488506,0.0006712410792677481
V3b,3,0.005503965296950519,0.004210432114617135,0.0021532136663373613,0.00022954899359317604,-0.0010892294775971534
V3b,4,0.010533141695826198,0.005584959150381152,0.0011907138044314758,0.0006773085455396011,0.003080160195473969
V3b,5,0.0046287879705436685,0.0034337849084049576,0.0016513016401636937,0.00022073163420099906,-0.0006770302122259819
V3b,6,0.0020660304905384397,0.0020514249276923913,0.0002978013966741244,0.00015896552485428206,-0.00044216135868235806
V3b,7,0.018222194444877382,0.01635509551263481,0.001088852393565598,0.0009170985732764869,-0.00013885203459951256
V3b,8,0.0029464773466648664,0.0011511921576512485,0.0010107493692642633,0.0007996020559442041,-1.506623619484948e-05
V3b,9,0.025197210848470153,0.014398059896056914,0.004246701413967102,0.001845343639598096,0.004707105898848041
V3b,10,0.006810589362375885,0.0059709114774940675,0.0003480677481542127,0.00031292518226055943,0.00017868495446704546
